label,k,se,sn,j,subject,operation
104,0.9002217295,0.9185520362,0.9999887537,0.8185483871,sofia,expand
105,0.7422360248,0.7611464968,0.9999905245,0.5901234568,sofia,expand
106,0.8057199211,0.817,0.9999780277,0.6746490504,sofia,expand
1,0.2704858593,0.2704858593,0.9998952369,0.15639413,sofia,translate
2,0.05135135135,0.05135135135,0.9999634513,0.02635228849,sofia,translate
4,0.451901566,0.451901566,0.9999489748,0.2919075145,sofia,translate
5,0.08041958042,0.08041958042,0.9999726148,0.04189435337,sofia,translate
6,0.1897233202,0.1897233202,0.9999146099,0.1048034934,sofia,translate
101,0.1958041958,0.1958041958,0.9999041952,0.1085271318,sofia,translate
102,0.1563342318,0.1563342318,0.9999674082,0.08479532164,sofia,translate
104,0.4162895928,0.4162895928,0.9999462674,0.2628571429,sofia,translate
105,0.1337579618,0.1337579618,0.9999716775,0.07167235495,sofia,translate
106,0.166,0.166,0.9999131521,0.09051254089,sofia,translate
